lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
88.09960867,24.65937638,BDHR4JDT.ZIP,Bangladesh,2004,0.8833747888791625,-0.7591930152763691,30,0
88.1490850553796,25.8294315415683,BDHR4JDT.ZIP,Bangladesh,2004,1.003087597027611,-0.9331598439054332,30,0
88.28683147355,24.6155666785632,BDHR4JDT.ZIP,Bangladesh,2004,-1.0203781508622776,1.7177846808127757,30,1
88.3764803211301,26.2089313901152,BDHR4JDT.ZIP,Bangladesh,2004,1.0790432759732647,-1.007321589952055,30,0
88.4958411256833,26.3180134739001,BDHR4JDT.ZIP,Bangladesh,2004,1.0081066659023084,-0.9160343171695462,30,0
88.5010910641437,24.7367246378913,BDHR4JDT.ZIP,Bangladesh,2004,1.020729890542005,-0.9429433783361726,30,0
88.5239242630729,24.3969226758533,BDHR4JDT.ZIP,Bangladesh,2004,0.39852873589943344,-0.20650572387485674,30,1
88.532567350859,25.5851038626574,BDHR4JDT.ZIP,Bangladesh,2004,0.573710310061575,-0.47950055961789023,29,0
88.5345977730933,26.1399800392913,BDHR4JDT.ZIP,Bangladesh,2004,0.7735499838875143,-0.6571205368773774,30,0
88.5546509468763,26.2006268926051,BDHR4JDT.ZIP,Bangladesh,2004,0.5162569645163649,-0.3132365636165306,29,1
88.5892159554762,25.903856853099,BDHR4JDT.ZIP,Bangladesh,2004,1.0544652839585413,-1.010944596931323,30,0
88.6041435897223,24.3957024439385,BDHR4JDT.ZIP,Bangladesh,2004,-0.7609796081352086,1.36982382561774,29,1
88.6134410624434,24.4841068474465,BDHR4JDT.ZIP,Bangladesh,2004,0.556114930164455,-0.4105316115524769,30,0
88.6137945785832,23.7089857691513,BDHR4JDT.ZIP,Bangladesh,2004,0.4184684443539144,-0.2037629533271729,30,0
88.6278056603446,24.7880017914539,BDHR4JDT.ZIP,Bangladesh,2004,1.0660974947986384,-0.9960570327577077,30,0
88.642362057939,24.3943992149952,BDHR4JDT.ZIP,Bangladesh,2004,0.12400206041711884,0.13858841217003964,29,1
88.6564201261932,24.7327680058303,BDHR4JDT.ZIP,Bangladesh,2004,0.5045898626685502,-0.4244327501304975,30,0
88.7525745972554,23.254005271263,BDHR4JDT.ZIP,Bangladesh,2004,0.3611838241290422,-0.20860218550390577,30,0
88.7590576438047,26.049324949734,BDHR4JDT.ZIP,Bangladesh,2004,1.1237628493941478,-1.0600555161542582,29,0
88.7746897203367,25.0415387549098,BDHR4JDT.ZIP,Bangladesh,2004,-0.22260523838543575,0.666877775926664,29,1
88.7760267377928,25.8848246416933,BDHR4JDT.ZIP,Bangladesh,2004,1.164857436778326,-1.1238180597759975,29,0
88.7921973062363,24.5764496386396,BDHR4JDT.ZIP,Bangladesh,2004,0.7578737516987651,-0.6598598864754244,30,0
